a,b,c,d
g055,0.302,41.29574074,0.275320135
g097,0.34,41.08202383,0.232764787
g120,0.51,41.88872237,0.227776884
g133,0.421,42.13624639,0.325882221
g142,0.399,41.48642694,0.296231218
g160,0.493,42.15286231,0.265794739
g240,0.687,43.01530774,0.28682636
h300,0.687,42.84643728,0.274033553
h319,0.495,42.25959121,0.233155755
h323,0.603,42.65781373,0.280738356
h342,0.421,42.19737421,0.234653901
h359,0.348,41.5970773,0.218430763
h363,0.213,40.10019854,0.225411924
h364,0.344,41.19050644,0.210577314
k396,0.271,40.53288646,0.217182931
k411,0.564,42.39245613,0.296179217
k425,0.274,40.72632362,0.209762707
k429,0.181,39.69561122,0.229723299
k430,0.582,43.17976752,0.327843887
k441,0.68,42.91079343,0.292732159
k448,0.401,41.9343745,0.336024813
k485,0.416,41.5401634,0.304687254
m027,0.286,41.21131986,0.260077754
m034,0.562,43.06962215,0.33608785
m043,0.266,40.36052487,0.252526001
m062,0.314,41.24824615,0.243685252
m138,0.581,43.69871767,0.39436755
m158,0.463,41.94984058,0.268565104
m193,0.341,41.0072769,0.225338955
n256,0.631,42.89819776,0.235138398
n258,0.522,42.69515589,0.248621683
n263,0.368,41.48806074,0.207836005
n278,0.309,40.87679365,0.215775825
n285,0.528,42.37517437,0.303416211
n404,0.216,40.40378187,0.217189019
p455,0.284,40.8493617,0.207444974
p524,0.508,42.20377438,0.232554897
p528,0.781,43.45402561,0.325104263
p534,0.613,42.63050057,0.2615687
1999fw,0.278,40.57526708,0.200805871
1999fn,0.477,42.06501,0.185467817
1999fm,0.95,43.64831656,0.301698677
1999fk,1.057,44.16668383,0.240606195
1999fj,0.816,43.70756225,0.466035004
1999ff,0.455,42.33836212,0.232259103
04Eag,1.02,44.29460615,0.208732914
04Gre,1.14,44.26012764,0.216820068
04Man,0.854,43.62062279,0.213134015
04Mcg,1.37,45.03178252,0.244915951
04Omb,0.975,44.26800839,0.198885573
04Pat,0.97,44.48170631,0.282255399
04Rak,0.74,43.30165596,0.18331142
04Sas,1.39,44.83542563,0.238383165
04Yow,0.46,42.14398237,0.196808697
05Fer,1.02,44.08087769,0.226292203
05Gab,1.12,44.43844732,0.211870886
05Lan,1.23,44.93614449,0.222899261
05Red,1.19,44.28368323,0.236655407
05Spo,0.839,43.41041437,0.209549983
05Str,1.01,44.83586055,0.322525274
05Zwi,0.521,42.38752532,0.184037574
2002dc,0.475,42.11392035,0.248548173
2002dd,0.95,43.83647622,0.222117064
2002fw,1.3,44.86875566,0.217324926
2002fx,1.4,42.9259149,1.077921016
2002hp,1.305,44.64209986,0.249576425
2002kc,0.216,40.54265849,0.231050243
2002kd,0.735,43.10007747,0.185908921
2002ki,1.14,44.20118962,0.364467879
2003aj,1.307,45.11916158,0.265400797
2003az,1.265,44.85359032,0.224124267
2003bd,0.67,43.15502678,0.186583219
2003be,0.64,42.91042144,0.186744573
2003dy,1.34,45.00245327,0.267856909
2003eq,0.84,43.51024668,0.194732639
2003XX,0.935,43.55004671,0.215358476
2001cw,0.953,44.29125299,0.971680646
2001gn,1.124,44.57640333,0.198690906
2001go,0.552,42.53025112,0.105933337
2001gq,0.671,42.9914166,0.121926563
2001gy,0.511,42.38816345,0.089911801
2001hb,1.03,44.25165588,0.142160782
